Store ID,Product ID,Category,Region,Inventory Level,Forecast Demand,Stockout Risk,Recommended Order,Priority
S001,P0001,Electronics,North,383,90.1,False,0,LOW
S001,P0002,Clothing,North,136,110.0,False,128,MEDIUM
S001,P0003,Clothing,North,434,105.6,False,0,LOW
S001,P0004,Electronics,North,241,82.8,False,0,LOW
S001,P0005,Groceries,North,946,87.5,False,0,LOW
S001,P0006,Toys,North,436,93.4,False,0,LOW
S001,P0007,Groceries,North,476,93.5,False,0,LOW
S001,P0008,Electronics,North,162,70.2,False,7,MEDIUM
S001,P0009,Clothing,North,128,100.0,False,112,MEDIUM
S001,P0010,Furniture,North,518,75.0,False,0,LOW
S001,P0011,Furniture,North,204,57.4,False,0,LOW
S001,P0012,Groceries,North,396,100.2,False,0,LOW
S001,P0013,Toys,North,91,95.4,True,139,HIGH
S001,P0014,Groceries,North,660,99.7,False,0,LOW
S001,P0015,Toys,North,80,74.1,False,98,MEDIUM
S001,P0016,Groceries,North,225,95.6,False,5,MEDIUM
S001,P0017,Toys,North,186,86.2,False,21,MEDIUM
S001,P0018,Groceries,North,130,88.7,False,83,MEDIUM
S001,P0019,Furniture,North,110,63.3,False,43,MEDIUM
S001,P0020,Furniture,North,333,61.5,False,0,LOW
S002,P0001,Groceries,South,569,103.4,False,0,LOW
S002,P0002,Toys,South,515,78.1,False,0,LOW
S002,P0003,Groceries,South,388,93.0,False,0,LOW
S002,P0004,Groceries,South,129,98.5,False,108,MEDIUM
S002,P0005,Electronics,South,552,109.6,False,0,LOW
S002,P0006,Clothing,South,98,102.6,True,149,HIGH
S002,P0007,Toys,South,414,92.1,False,0,LOW
S002,P0008,Groceries,South,85,102.5,True,161,HIGH
S002,P0009,Groceries,South,153,95.1,False,76,MEDIUM
S002,P0010,Groceries,South,143,107.5,False,116,MEDIUM
S002,P0011,Groceries,South,73,69.9,False,95,MEDIUM
S002,P0012,Electronics,South,423,79.2,False,0,LOW
S002,P0013,Groceries,South,125,110.8,False,141,MEDIUM
S002,P0014,Electronics,South,676,99.3,False,0,LOW
S002,P0015,Clothing,South,1039,84.5,False,0,LOW
S002,P0016,Clothing,South,88,90.3,True,129,HIGH
S002,P0017,Toys,South,204,76.8,False,0,LOW
S002,P0018,Clothing,South,61,112.1,True,209,HIGH
S002,P0019,Clothing,South,339,106.6,False,0,LOW
S002,P0020,Furniture,South,332,80.0,False,0,LOW
S003,P0001,Toys,East,207,75.7,False,0,LOW
S003,P0002,Groceries,East,327,116.9,False,0,LOW
S003,P0003,Electronics,East,95,105.1,True,158,HIGH
S003,P0004,Groceries,East,552,105.7,False,0,LOW
S003,P0005,Toys,East,782,112.1,False,0,LOW
S003,P0006,Toys,East,156,141.6,False,184,MEDIUM
S003,P0007,Groceries,East,187,114.9,False,89,MEDIUM
S003,P0008,Clothing,East,170,132.4,False,148,MEDIUM
S003,P0009,Groceries,East,123,124.3,True,176,HIGH
S003,P0010,Groceries,East,111,119.2,True,176,HIGH
S003,P0011,Electronics,East,143,143.4,True,202,HIGH
S003,P0012,Furniture,East,286,58.9,False,0,LOW
S003,P0013,Groceries,East,781,127.8,False,0,LOW
S003,P0014,Groceries,East,350,151.8,False,15,MEDIUM
S003,P0015,Groceries,East,413,145.0,False,0,LOW
S003,P0016,Electronics,East,161,123.0,False,135,MEDIUM
S003,P0017,Furniture,East,239,115.0,False,38,MEDIUM
S003,P0018,Furniture,East,652,87.3,False,0,LOW
S003,P0019,Groceries,East,108,135.3,True,217,HIGH
S003,P0020,Clothing,East,113,107.2,False,145,MEDIUM
S004,P0001,Groceries,West,342,102.1,False,0,LOW
S004,P0002,Groceries,West,273,81.8,False,0,LOW
S004,P0003,Furniture,West,153,65.1,False,4,MEDIUM
S004,P0004,Groceries,West,439,111.3,False,0,LOW
S004,P0005,Clothing,West,184,97.5,False,51,MEDIUM
S004,P0006,Groceries,West,134,99.0,False,104,MEDIUM
S004,P0007,Groceries,West,574,122.2,False,0,LOW
S004,P0008,Furniture,West,92,55.6,False,42,MEDIUM
S004,P0009,Clothing,West,472,123.0,False,0,LOW
S004,P0010,Groceries,West,247,111.7,False,21,MEDIUM
S004,P0011,Clothing,West,596,79.6,False,0,LOW
S004,P0012,Electronics,West,201,90.2,False,16,MEDIUM
S004,P0013,Groceries,West,389,55.7,False,0,LOW
S004,P0014,Furniture,West,379,48.7,False,0,LOW
S004,P0015,Furniture,West,292,46.7,False,0,LOW
S004,P0016,Furniture,West,153,50.5,False,0,LOW
S004,P0017,Clothing,West,166,106.0,False,89,MEDIUM
S004,P0018,Furniture,West,97,70.4,False,72,MEDIUM
S004,P0019,Clothing,West,219,100.3,False,22,MEDIUM
S004,P0020,Furniture,West,79,81.6,True,117,HIGH
S005,P0001,Groceries,North,267,100.8,False,0,LOW
S005,P0002,Electronics,North,156,85.6,False,50,MEDIUM
S005,P0003,Toys,North,212,95.2,False,17,MEDIUM
S005,P0004,Groceries,North,141,103.4,False,108,MEDIUM
S005,P0005,Groceries,North,288,103.2,False,0,LOW
S005,P0006,Groceries,North,266,131.7,False,51,MEDIUM
S005,P0007,Groceries,North,261,90.3,False,0,LOW
S005,P0008,Groceries,North,154,95.5,False,76,MEDIUM
S005,P0009,Groceries,North,136,111.6,False,132,MEDIUM
S005,P0010,Groceries,North,115,85.7,False,91,MEDIUM
S005,P0011,Electronics,North,269,80.3,False,0,LOW
S005,P0012,Furniture,North,375,57.5,False,0,LOW
S005,P0013,Groceries,North,792,107.7,False,0,LOW
S005,P0014,Furniture,North,161,108.1,False,99,MEDIUM
S005,P0015,Groceries,North,520,89.8,False,0,LOW
S005,P0016,Toys,North,233,72.9,False,0,LOW
S005,P0017,Toys,North,137,107.2,False,121,MEDIUM
S005,P0018,Clothing,North,197,75.5,False,0,LOW
S005,P0019,Furniture,North,125,84.0,False,77,MEDIUM
S005,P0020,Toys,North,126,83.9,False,76,MEDIUM
